lon,lat
-117.4050881,34.4938797
-118.1588868,34.6991408
-118.3022834,33.8300342
NA,NA
-118.3028681,33.8247997
-118.2666373,33.8020561
-122.469317,37.6904169
-118.1667256,34.6353672
-117.7127744,34.0208281
-118.3197775,34.0486183
-118.3160186,33.9629849
-118.2859943,33.9470118
-117.754956,34.08721000000001
-117.7592253,34.104509
-117.7116495,34.0860203
-117.7118665,34.0888012
-122.3053767,38.0018092
-122.2764545,37.9715772
-122.2666174,37.9869572
-122.282748,37.813422
-122.80821,38.5618149
-117.3965864,33.9769031
-117.319069,33.8871107
-117.493857,33.908789
-121.5096955,38.5059596
-121.4506428,38.5381187
-121.4097899,38.5138067
-121.5076188,38.497964
-117.0232617,33.7815867
-117.7041323,34.0689388
-121.95205,38.423069
-117.037362,32.7237
-121.9971232,38.4427594
-121.99399,38.3394804
-122.001376,38.35945
-122.046898,38.269954
-117.9595217,33.7637972
-122.1109465,37.6772812
-117.7402843,34.1101451
NA,NA
-118.0255228,33.8996919
-121.4274727,38.3827491
-121.877385,37.402399
-118.1677174,34.6917091
NA,NA
-118.5644846,34.2164978
-118.0981256,33.7890637
-118.1808729,33.8408295
-118.1201921,33.8288264
-118.1298132,33.8786957
-118.125617,33.866389
-118.2279364,33.9540381
-118.088004,33.8367881
-118.1724406,33.9231669
-118.4878189,34.2390842
-122.4133064,40.608852
-118.3012597,33.824024
-118.3284368,33.8192577
-117.0866254,32.5689929
-119.2944344,36.3414332
-122.0708034,37.5936744
-117.9113391,34.0836025
-121.5763321,37.0033061
-122.0552344,37.5975726
-117.2294587,33.9697931
-117.1924157,33.9249067
-117.2081909,33.8804845
-117.2043999,33.9211797
-118.4345423,34.2551764
-118.4417683,35.1267146
-122.2987949,37.5642722
-121.7893768,37.3139972
-118.0328978,34.5666321
NA,NA
-118.1612885,33.9619464
-118.3037535,34.0012294
-118.3145798,33.9313593
-117.075144,33.469433
-119.170424,34.179761
-119.2059759,34.1860859
-119.2109,34.193352
-119.1659736,34.2205662
-122.2578898,38.1768916
-119.4506737,36.6031061
-119.8435005,36.8037453
-122.0943,37.62243
-122.0924181,37.648602
-122.0916197,37.6518787
-117.0807226,32.7016434
-117.0630295,32.680309
-117.0921103,32.7144156
-117.0539394,32.6708782
-118.2449651,33.8480184
-118.2410478,33.8298172
-118.2849718,33.9971525
-117.955558,34.0497942
-118.4987138,34.2472502
-117.2376971,33.3900268
-117.1730498,33.3698375
-118.2995841,34.0329867
-118.2345666,33.9355483
-121.9433226,38.3618601
-120.9472077,37.733056
-118.2881873,33.9774457
